generic_name,brand_name,drug_class,primary_fda_ind,other_fda_ind,available_strengths,moa,dosing_regimen,side_effects,boxed_warnings
Bupropion Hydrochloride,"Wellbutrin® (SR, XL), Zyban®",Antidepressant,Depression,Smoking Cessation,"75, 100 mg; (SR) 100, 150, 200 mg; (XL) 150, 300 mg",Norepinephrine and dopamine reuptake inhibitor,(XL) 150 to 300 mg po qday,"Dizziness, constipation, weight loss, dry mouth, insomnia, sweating, agitation, and tremor","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Albuterol Sulfate (inhalation),"Proventil® HFA, Proair® HFA, Ventolin® HFA",Bronchodilator,Relief of bronchospasms (asthma),,90 mcg/spray,"Short-acting beta-2 adrenergic receptor agonist (SABA); stimulation of beta-2-adrenergic receptors to relax bronchial, uterine, and vascular smooth tissue (bronchodilation)",2 inhalations q4-6 hours,"Nausea, vomiting, nervousness, headache, insomnia, tremor, dizziness, hypertension, tachycardia, and palpitations.",
Metoprolol Succinate,Toprol-XL®,Antihypertensive,Hypertension,CHF (NYHA Class II or III),"25, 50, 100, 200 mg",Beta-1-adrenergic receptor blocker (cardioselective),25 to 100 mg qday,"Dizziness or fatigue, depression, shortness of breath or bradycardia, pruritus, and diarrhea",
Apixaban,Eliquis®,Hematological Agent,Reduce risk of stroke in Atrial Fibrillation,,"2.5, 5 mg",Selective inhibitor of Factor Xa to decrease thrombin and thrombus formation,5 mg po qday,"Bleeding events such as contusion, hemorrhage, hematoma, and gingival bleeding","PREMATURE DISCONTINUATION OF THERAPY INCREASES THE RISK OF THROMBOTIC EVENTS. USE CAUTION IN PATIENTS UNDERGOING SPINAL/EPIDURAL ANESTHESIA, ESPECIALLY THOSE WITH INDWELLING EPIDURAL CATHETERS."
Hydrochlorothiazide,Microzide®,Diuretic,Edema from Congestive Heart Failure (CHF),Hypertension,"12.5, 25, 50 mg",Thiazide diuretic; inhibits the reabsorption of sodium and chloride at the distal renal tubule,25 to 100mg po qday in single or divided dose,"Dry mouth, muscle cramps, nausea, vomiting, anemia, weakness, dizziness, orthostatic hypotension, anorexia, GI distress including diarrhea and constipation, hyperglycemia, photosensitivity, rash, and transient blurred vision",
Pantoprazole Sodium,Protonix®,Gastric Antisecretory,Gastroesophageal reflux disease (GERD),Heartburn,"20, 40 mg",Proton pump inhibitor that suppresses the H+/K+ ATPase enzyme system at the gastric parietal cells,40 mg po qday for up to 8 weeks,"Diarrhea, headache, flatulence, and rash",
Tramadol Hydrochloride,Ultram® (ER),Analgesic,Moderate to moderately severe pain,,"50, 100, 200, 300 mg",Binds to m-opioid receptor and inhibits reuptake of norepinephrine and serotonin,"50 to 100mg po q4-6hrs prn for the relief of pain, not to exceed 400mg/daily","Dizziness/vertigo, nausea, constipation, headache, somnolence, vomiting, pruritus, CNS stimulation, asthenia, sweating, dyspepsia, dry mouth, and diarrhea","Risk of medication errors; Addiction, abuse, and misuse; Opioid analgesic Risk Evaluation and Mitigation Strategy (REMS); Life-threatening respiratory depression; Accidental ingestion; Ultra-rapid metabolism of tramadol and other risk factors for life-threatening respiratory depression in children; Neonatal opioid withdrawal syndrome; Interactions with drugs affecting cytochrome P450 isoenzymes; Risks from concomitant use with benzodiazepines or other CNS depressants"
Carvedilol,Coreg® & Coreg® CR,Antihypertensive,Hypertension,Heart Failure,"3.125, 6.25, 12.5, 25 mg; (CR) 10, 20, 40, 80 mg",Beta Blocker; nonselective beta-adrenergic blocking agent (reduce cardiac output and tachycardia) with alpha-1-adrenergic blocking activity,12.5 mg po bid,"Dizziness, diarrhea, bradycardia and hypotension, hyperglycemia, and visual abnormalities occur in treatment of congestive heart failure",
Rosuvastatin Calcium,Crestor®,Antihyperlipidemic,Hypercholesterolemia,,"5, 10, 20, 40 mg","Selective, competitive inhibitor of HMG-CoA reductase to reduce TC, LDL, apoB, and TG levels and increase HDL",5 to 40 mg po qday,"Myalgia, constipation, asthenia, abdominal pain, and nausea",
Fluoxetine Hydrochloride,"Prozac®, Sarafem®",Antidepressant,Depression,,"10, 20, 40 mg; 90 mg weekly",SSRI; blocks neuronal uptake of serotonin,10 to 40 mg po qday,"Nausea, insomnia, anorexia, headache, nervousness, drowsiness, tremor, diarrhea, sweating, asthenia, decreased libido, abnormal ejaculation and fatigue","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Citalopram Hydrobromide,Celexa®,Antidepressant,Depression,,"10, 20, 40 mg",SSRI; blocks neuronal uptake of serotonin,20 mg po qday,"Nausea, dry mouth, somnolence, insomnia, diarrhea, ejaculation disorder, and impotence","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Venlafaxine Hydrochloride,Effexor® (XR),Antidepressant,Depression,,"25, 37.5, 50, 75, 100 mg; (XR) 37.5, 75, 150 mg",Serotonin-norepinephrine reuptake inhibitors (SNRIs); inhibiting the reuptake of both serotonin and norepinephrine in the brain,75 mg po qday in single (XR) or divided dose,"Nausea, dry mouth, anorexia, constipation, drowsiness, insomnia, dizziness, nervousness, abnormal ejaculation, sweating, impotence, decreased libido, and yawning","ANTIDEPRESSANTS INCREASE THE RISK OF SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Montelukast Sodium,Singulair®,Antiasthmatic/Antiallergy,Asthma,Seasonal Allergic Rhinitis,"4, 5, 10 mg",Binds to CysLT1 receptor to inhibit LTD4 in the lungs,10 mg po qday in the evening,"Headache, influenza, cough, abdominal pain, dyspepsia, and dizziness",Serious neuropsychiatric events
Prednisone,Deltasone®,Anti-inflammatory,Allergic and Inflammatory disease,,"1, 2.5, 5, 10, 20, 50 mg",Corticosteroid; Adrenocorticoids bind to form steroid-receptor complex that reacts with chromatin/DNA to inhibit transcription of mRNA,Dosages must be individualized; 5 to 60 mg po qday,"Blurred vision, upset stomach, nausea, vomiting, fluid and electrolyte disturbances, Cushing's syndrome, increased susceptibility to infections, osteoporosis, vertebral compression, various behavioral disturbances, peptic ulceration, myopathy, suppression of growth in children, and signs of adrenal suppression",
Buspirone Hydrochloride,BuSpar®,Antianxiety Agent,Anxiety,,"5, 10, 15, 30 mg",Agonize presynaptic 5-HT1A receptors or 5-HT1A autoreceptors,5 to 10 mg given up to QID,"Skin rash, tachycardia, headache, fatigue, sweating, muscle pain, dream disturbances, dizziness, drowsiness, nervousness, insomnia, mood alterations, depression, dry mouth, nausea, vomiting, diarrhea or constipation, nasal congestion, blurred vision, tinnitus, and sore throat",
Zolpidem Tartrate,Ambien® & Ambien CR®,Sedative,Insomnia,,"5, 10mg; (CR) 6.25, 12.5mg",Binds the (BZ1) receptor specifically with a potent affinity for the alpha 1/alpha 5 subunits,5 to 12.5 mg immediately before bedtime,"Headache, drowsiness, nausea, dry mouth, allergy, back pain, influenza-like symptoms, palpitations, dizziness, lethargy, drugged feeling, depression, dyspepsia, diarrhea, abdominal pain, constipation, myalgia, arthralgia, upper respiratory infection, sinusitis, pharyngitis, rash, and urinary tract infection","RARE BUT SERIOUS INJURIES HAVE OCCURRED DUE TO ABNORMAL SLEEP BEHAVIORS, INCLUDING SLEEPWALKING, SLEEP DRIVING, AND ENGAGING IN OTHER ACTIVITIES WHEN NOT FULLY AWAKE."
Lorazepam,Ativan®,Antianxiety Agent,Anxiety,,"0.5, 1, 2 mg",Benzodiazepine; inhibits gamma-aminobutyric acid (GABA),2 to 6 mg po per day in divided doses,"Drowsiness, dizziness, unsteadiness, and weakness","CONCOMITANT USE WITH OPIOIDS INCREASES THE RISK OF RESPIRATORY DEPRESSION, COMA, AND DEATH."
Meloxicam,Mobic®,Nonsteroidal Anti-inflammatory,Osteoarthritis and Rheumatoid Arthritis,,"5, 7.5, 10, 15 mg",NSAID; Inhibits cyclooxygenase which decreases biosynthesis of prostaglandins,7.5 mg po qday,"Abdominal pain, diarrhea, dyspepsia, flatulence, and nausea","NSAIDS MAY CAUSE AN INCREASED RISK OF SERIOUS CARDIOVASCULAR THROMBOTIC EVENTS, MYOCARDIAL INFARCTION, AND STROKE. NSAIDS HAVE BEEN INVOLVED IN RARE CASES OF GI BLEEDING INCIDENTS."
Clonazepam,Klonopin®,Antianxiety Agent,Anxiety,Antiseizure,"0.5, 1, 2mg; (Wafer) 0.25 mg",Benzodiazepine; inhibits gamma-aminobutyric acid (GABA),0.5 mg po TID,"Drowsiness, ataxia, fatigue","CONCOMITANT USE WITH OPIOIDS INCREASES THE RISK OF RESPIRATORY DEPRESSION, COMA, AND DEATH."
Alprazolam,Xanax® (XR),Antianxiety Agent,Anxiety,,"0.25, 0.5, 1, 2mg; (XR) 0.5, 1, 2, 3mg",Inhibits gamma-aminobutyric acid (GABA),0.25 to 0.5 mg po tid,Drowsiness and hypotension,"CONCOMITANT USE WITH OPIOIDS INCREASES THE RISK OF RESPIRATORY DEPRESSION, COMA, AND DEATH."
Quetiapine Fumarate,Seroquel®,Antipsychotic,Schizophrenia,Depression associated with bipolar disorder,"25, 50, 100, 200, 300, 400 mg","Multiple neurotransmitter antagonist with activity at serotonin 5HT1A, 5HT2, dopamine D1, D2, histamine H1, and adrenergic alpha-1 and alpha 2 receptors","300 to 400 mg qday, given in two-three divided doses or one ER tablet","Somnolence, dizziness, constipation, postural hypotension, dry mouth, and dyspepsia",CONTRAINDICATED IN PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS. MAY INCREASE SUICIDAL THOUGHTS IN CHILDREN AND YOUNG ADULTS.
Metoprolol Tartrate,Lopressor®,Antihypertensive,Hypertension,,"25, 50, 100 mg",Beta blocker; cardioselective beta-1 adrenergic receptor,100 to 450mg po qday in single or divided doses,"Dizziness, fatigue, depression, shortness of breath, diarrhea, and bradycardia",
Tamsulosin Hydrochloride,Flomax®,BPH Agent,Benign Prostatic Hyperplasia (BPH),,0.4 mg,Selective blocks alpha-adrenergic in prostate,0.4 mg po qday,"Headache, dizziness, rhinitis, infection, asthenia, abnormal ejaculation, back pain, pharyngitis, diarrhea, chest pain, cough, somnolence, insomnia, nausea, sinusitis, and priapism",
Oxycodone Hydrochloride,"OxyContin®, Roxicodone®",Opioid Analgesic,Moderate to Severe Pain,,"10, 15, 20, 30, 40, 60, 80 mg",Opioid agonist; bind and activate opioid receptors in the central nervous system (CNS),10-20 mg po BID,"Constipation, nausea, somnolence, dizziness, pruritus, vomiting, headache, dry mouth, asthenia, and sweating","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. USE IN PREGNANCY CAN CAUSE NEONATAL WITHDRAWAL SYNDROME. CONCOMITANT USE WITH BENZODIAZEPINES, ALCOHOL, OR OTHER CNS DEPRESSANTS CAN RESULT IN RESPIRATORY DEPRESSION, COMA, AND DEATH."
Fluticasone Propionate (nasal),Flonase®,Antiallergy Agent,Asthma,,220 mcg,Adrenocorticoids bind to form steroid-receptor complex that reacts with chromatin/DNA to inhibit transcription of mRNA,2 puffs of the 110 or 220 MDI BID or 1 puff of the 100 or 250 mcg Diskus BID,"Nasal burning, epistaxis, blood in nasal mucus, pharyngitis, nasal irritation, and headache.",
Donepezil Hydrochloride,Aricept®,Alzheimer's Dementia Agent,Alzheimer's,,"5, 10, 23 mg","Central, reversible acetylcholinesterase inhibitor to increase acetylcholine available at cholinergic synapse",10 mg given at bedtime,"Nausea, diarrhea, insomnia, vomiting, muscle cramps, fatigue, and anorexia",
Clopidogrel Bisulfate,Plavix®,Hematological Agent,Reduce risk of atherosclerotic events,,"75, 300 mg",Converted by CYP2C19 to active metabolite to inhibit platelet aggregation by preventing ADP and receptor binding,75 mg po qday,"Upper respiratory tract infection, chest pain, headache, flu-like symptoms, arthralgia, dizziness, back pain, abdominal pain, purpura, dyspepsia, diarrhea, dyspnea, rhinitis, rash, hypertension, edema, bronchitis, coughing, urinary tract infection, pruritus, depression, nausea, epistaxis, and fatigue",DO NOT USE IN PATIENTS IDENTIFIED WITH TWO LOSS-OF-FUNCTION ALLELES OF THE CYP2C19 GENE.
Methylphenidate Hydrochloride (IR & ER),"Ritalin®, Methylin®, Metadate®, Concerta®",CNS Agent for ADHD,Attention Deficit Disorder,,"(SR 5, 10, 20mg; 20mg; (LA) 10, 20, 30, 40 mg",Norepinephrine and dopamine reuptake inhibitor,"5 mg po qday before breakfast and lunch, gradual increases of 5 to 10 mg weekly","Nervousness, insomnia, anorexia, nausea, dizziness, palpitations, headache, angina, and drowsiness",CNS STIMULANTS HAVE A HIGH POTENTIAL FOR ABUSE AND DEPENDENCE.
Allopurinol,Zyloprim®,Gout Agent,Gout,,"100, 300 mg",Competitively inhibits xanthine oxidase and metabolized to alloxanthine,200 to 300mg po qday,"Drowsiness, diarrhea, nausea, vomiting, abdominal pain, and RASH",
Oxycodone Hydrochloride with Acetaminophen,"Percocet®, Roxicet®, Endocet®",Opioid Analgesic,Moderate to Severe Pain,,"5/325, 7.5/325, 10/325 mg",Produces central analgesia via action on the central opiate receptors,10 to 20 mg po BID,"Dizziness, drowsiness, constipation, nausea, and vomiting","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. USE IN PREGNANCY CAN CAUSE NEONATAL WITHDRAWAL SYNDROME. CONCOMITANT USE WITH BENZODIAZEPINES, ALCOHOL, OR OTHER CNS DEPRESSANTS CAN RESULT IN RESPIRATORY DEPRESSION, COMA, AND DEATH."
Risperidone,Risperdal®,Antipsychotic,Schizophrenia,Bipolar 1 Disorder,"0.25, 0.5, 1, 2, 3, 4 mg; (M-Tab) 0.5, 1 mg",Directly antagonize dopamine (D2) and serotonin (5HT2) receptors,1 mg po BID,"Extrapyramidal symptoms, insomnia, agitation, anxiety, somnolence, nausea, constipation, vomiting, dyspepsia, rhinitis, tachycardia, dry skin, priapism, and rash",CONTRAINDICATED IN PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS.
Lamotrigine,"Lamictal® (XR, ODT, CD)",Anticonvulsant / Bipolar Agent,Seizures,,"5, 25, 100, 150, 200 mg; (XR) 100 mg",Inhibits voltage-sensitive Na channels to suppress release of glutamate,25 to 200 mg qday,"Dizziness, ataxia, somnolence, headache, diplopia, blurred vision, nausea, vomiting, and rash","SERIOUS, LIFE-THREATENING RASHES HAVE BEEN REPORTED IN ASSOCIATION WITH THE USE OF LAMOTRIGINE."
Memantine Hydrochloride,Namenda®,Alzheimer's Dementia Agent,Alzheimers,,"5, 7, 10, 14, 21, 28 mg",N-methyl-D-aspartate (NMDA) receptor antagonist,10 mg po BID,"Dizziness, headache, confusion, hypertension, pain, fatigue, vomiting, coughing, hallucinations, and somnolence",
Diltiazem Hydrochloride,"Cardizem® (CD), Cartia®, Dilacor®, Dilt-XR®, Tiazac®",Antihypertensive,Anginal Pectoris,Hypertension,"120, 180, 240, 300, 360 mg",Calcium channel blocker (CCB); inhibits the influx of Ca2+ ions across cellular membranes of vascular and cardiac tissue,240 to 360 mg qday in one or two doses,"Peripheral edema, bradycardia, flushing, headache, dizziness, asthenia, and AV block",
Cyclobenzaprine Hydrochloride,"Flexeril®, Amrix®, Fexmid®",Muscle Relaxant,Musculoskeletal Pain,,"5, 10, 15 mg",Acting at the brain stem in the CNS resulting in diminished activity of alpha and gamma motor neurons,10 mg TID,"Drowsiness, dizziness, dry mouth, fatigue, asthenia, nausea, constipation, dyspepsia, unpleasant taste, blurred vision, headache, nervousness, and confusion",
Lisdexamfetamine Dimesylate,Vyvanse®,CNS Agent for ADHD,Attention Deficit Hyperactivity Disorder (ADHD),,"10, 20, 30, 40, 50, 60, 70 mg",Acts on adrenergic receptors to release norepinephrine,30 mg po qAM,"Decreased appetite, insomnia, dry mouth, diarrhea, nausea, anxiety, restlessness, increased blood pressure, dyspnea, and tachycardia",CNS STIMULANTS HAVE A HIGH POTENTIAL FOR ABUSE AND DEPENDENCE.
Oxybutynin Chloride (oral),Ditropan® & Ditropan® XL,Urinary Bladder Modifier,Neurogenic Bladder,Overactive Bladder,"(XL) 5, 10, 15 mg",Inhibits muscarinic action of acetylcholine on smooth muscles,(XL) 5mg po qday,"Dry mouth, drowsiness, confusion, agitation, blurred vision, diarrhea, and nausea",
Mirtazapine,Remeron®,Antidepressant,Depression,,"7.5, 15, 30, 45 mg",Antagonize alpha-2 adrenergic inhibitory auto- and hetero-receptors to increase noradrenergic and serotonergic activity,15 to 45mg po qday,"Drowsiness, dry mouth, increased appetite, constipation, weight gain, dizziness, flu syndrome, and abnormal dreams","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Potassium Chloride (oral),"Klor-Con®, K-Dur®, Micro-K®",Electrolyte,Potassium Deficiency,,"8, 10, 20 mEq",Electrolyte supplement; Replenish principal intracellular cation of most body tissue,16 to 80 mEq po qday in one or two divided doses,"Diarrhea, nausea, vomiting, and abdominal discomfort",
Spironolactone,Aldactone®,Diuretic,Edema from Congestive Heart Failure (CHF),,"25, 50, 100 mg",Competitively antagonize aldosterone at Na/K exchange site in distal convoluted renal tubule,"100 mg po qday, adjustments at 5 day intervals to a maintenance dose of 25 to 200 mg qday","Diarrhea, drowsiness, headache, amenorrhea, weakness, paresthesia, mental confusion, dry mouth, muscle cramps, hirsutism, urticaria, impotence, gynecomastia, nausea, and vomiting",
Divalproex Sodium,Depakote® (ER),Anticonvulsant/Bipolar Agent,Seizures,Bipolar Disorder,"125, 250, 500 mg; (ER) 250, 500 mg","Dissociates into valproate; MOA is unknown, though may be related to increased brain levels of gamma aminobutyric acid (GABA)",250 mg TID or 25mg/kg qday (ER),"Nausea, asthenia, somnolence, dyspepsia, dizziness, diarrhea, vomiting, abdominal pain, tremor, weight gain, back pain, alopecia, and increased appetite","HEPATIC FAILURE RESULTING IN FATALITIES HAS OCCURRED IN PATIENTS RECEIVING VALPROIC ACID. CASES OF LIFE-THREATENING PANCREATITIS HAVE BEEN REPORTED IN PATIENTS RECEIVING VALPROATE. NEURAL TUBE DEFECTS, OTHER MALFORMATIONS, AND DECREASED IQ CAN OCCUR IF USED DURING PREGNANCY."
Cephalexin Monohydrate,Keflex®,Antibiotic,"Infection (due to the following streptococci, staphylococci, E. coli, P. mirabilis, Klebsiella species, H. influenzae, and M.catarrhalis)",,"250, 500, 750 mg","First generation cephalosporin, inhibits bacterial cell wall synthesis via acylation of transpeptidase enzyme",250 mg to 1 g po q6hrs,"Nausea, vomiting, diarrhea, hives, itching, and rash",
Ondansetron Hydrochloride,Zofran®,Antiemetic,Nausea and Vomiting,,"4, 8 mg",Selective 5-HT3 receptor antagonist in vagal nerve terminals and chemoreceptor trigger zone,8 mg TID,"Headache, fatigue, constipation",
Aripiprazole,Abilify®,Antipsychotic,schizophrenia acute manic or mixed episodes with Bipolar disorder,,"2, 5, 10, 15, 20, 30mg; ODT 15mg",Partially agonize dopamine D2 and serotonin 5-HT1A receptors and antagonize 5-HT2A,10-15mg po qdaily,"Headache, anxiety, insomnia, asthenia, nausea, vomiting, constipation, weight gain, lightheadedness, drowsiness, and blurred vision",CONTRAINDICATED IN PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS. MAY INCREASE RISK OF SUICIDAL THOUGHTS IN CHILDREN AND YOUNG ADULTS.
Doxycycline Hyclate,Vibramycin®,Antibiotic,Bacterial Infections,,100 mg,Tetracycline antibiotic; Inhibits bacterial protein synthesis by competitively binding to the 30S ribosomal subunit.,100 mg PO q12h,"Dizziness, vertigo, nausea, vomiting, diarrhea, increased sensitivity to sunlight, discoloration of forming teeth, sore or darkened tongue, cramps, and burning stomach.",
Levetiracetam,Keppra®,Anticonvulsant,Seizures,,"250, 500, 750, 1000 mg; (ER) 500 mg","Unknown, inhibits burst firing in the hippocampus without affecting neuronal excitability.",500 mg PO BID,"Somnolence, asthenia, infection, dizziness, hostility, and nervousness",
